what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1277281792115
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1277281792117
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1277281792152
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1277281792175
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1277281792343
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1277281792418
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1277281792437
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1277281792496
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1277281792514
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1277281792522
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1277281792660
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1277281792682
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1277281792708
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1277281792772
started,bundle,com.mountainminds.eclemma.core,1.4.3,"com.mountainminds.eclemma.core",1277281793578
started,bundle,com.mountainminds.eclemma.ui,1.4.3,"com.mountainminds.eclemma.ui",1277281793589
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1277281820706
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1277281820722
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1277281820761
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277281821497
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1277281829422
error,log,,,"Unable to load the repository jar:file:/home/xavier/Téléchargements/spring-ide_updatesite_2.2.0_v200809261800.zip!/",1277281829467
error,log,,,"Unable to load the repository http://springide.org/blog/2008/09/30/spring-ide-22-released/",1277281838850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277281856495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277281856766
error,log,,,"Operation details",1277281966289
error,log,,,"Operation details",1277281966321
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277282051732
